what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.traceview,21.1.0.v201302060044-569685,"com.android.ide.eclipse.traceview",1393299563169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393299662693
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393299674989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393299677113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393299744133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393299744935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393299746085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393299753534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300169073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300234845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300245886
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393300247411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300254268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300255711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300258603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300269366
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1393300271898
opened,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1393300273024
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1393300273341
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1393300304281
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393300305271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300314412
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300320084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300322038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300384713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300391270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300392267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300402188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393300403376
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393300406432
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1393300407597
